name,latitude,longitude
Superintendent Office Sultania Zanana Hospital,23.2552746,77.4081332
Protima Mullik Police Lady Hospital,23.2435872,77.4104892
MKM Stone & Urology Hospital,23.2207305,77.4306234
Saluja Hospital,23.268316,77.401097
Global Hospital,23.216619,77.424238
Jaimini Hospital,23.253402,77.413919
Sunetra Eye Hospital,23.266097,77.400791
Navodaya Cancer Hospital,23.253032,77.461701
Anand Joint Replacement Centre,23.2649868,77.4656512
OM Hospital,23.2507344,77.430654
Jupiter Hospital,23.2503903,77.422628
Indira IVF Bhopal,23.231072,77.443582
Hardev Hospital,23.272502,77.344475
Chirayu Health & Medicare Pvt. Ltd.,23.258135,77.397161
Sachin Mamta Hospital,23.249564,77.471653
A.K. Hospital,23.224112,77.399811
Nandan Hospital,23.2704374,77.401481
Mansi Hospital,23.257099,77.418607
Aggrawal's Bombay Children Hospital,23.245765,77.4002823
25Th Battalion Hospital,23.22181,77.380268
Suyash Hospital,23.2696244,77.3956623
Dr Rahul Agarwal ENT Clinic,23.2197879,77.4341465
Swastik Hospital,23.252268,77.496581
Narayan Shri Homeopathic Hospital,23.264439,77.419474
ASG Eye Hospital,23.2154253,77.4388478
Devi Rajeshwari Hospital,23.251641,77.458523
ABM Muntispeciality Hospital,23.2633705,77.3938848
Muskan Children's & General Hospital Bhopal,23.2768125,77.40287
Apple hospital,23.2511711,77.4150939
Sahaj Hospital,23.261772,77.428413
Peoples General Hospital,23.274346,77.402743
Pulse Hospital,23.2605895,77.4049403
Balaji Fracture & General Hospital,23.250344,77.471633
Himalaya Optical Bhopal,23.232979,77.429734
Cancer Hospital,23.27308,77.380577
Lord Buddha Hospital,23.2386597,77.4859876
Jindal Maternity Hospital,23.230583,77.3932195
Kiishnani Hospital,23.2720075,77.3452807
Manya Hospital,23.2676797,77.3947884
Global Hospital,23.323475,77.405068
Srijan General Hospital And Nursing Home,23.2813234,77.4662053
Mohit Day Care Hospital,23.280336,77.465615
New star hospital,23.278182,77.40302
Aadhar Hospital,23.302993,77.408562
Central Hospital,23.2817728,77.3592499
Shri Sai Hospital,23.303048,77.41221
Shradha Hospital,23.2955194,77.3457958
Promise Children & general Hospital,23.2926896,77.4037377
Mahaveer Institute of Medical Sciences and Research,23.3123573,77.365381
"Divisional Railway Hospital, Bhopal",23.280011,77.422307
Vidhata Multi Speciality Hospital,23.304155,77.436358
New Apex Hospital,23.277956,77.403085
Capital Hospital,23.3029552,77.4061754
Peoples College Of Paramedical Science & Research Center,23.301544,77.419681
Carewell Multispeciality Hospital,23.281349,77.376758
Jeewanshree Hospital,23.303004,77.408962
Sarvottam Hospital,23.277597,77.372502
Jeevan Shree Hospital,23.302911,77.408823
Max Hospital,23.2920061,77.4147566
Sparsh Med care Hospital,23.282081,77.403413
ArogyaNidhi Hospital,23.348469,77.399598
Somnath Hospital,23.2958957,77.3450567
Care Hospital,23.6715372,77.2258103
Sanjivani Hospital,23.3630531,77.3999805
Sudama Hospital,23.3664024,77.401389
Dev Shree Hospital,23.6253793,77.4235648
SK dubey hospital,23.2095734,77.4357149
raka medical,23.2183639,77.428498
Modi Hospital,23.2759059,77.4561599
Hind Spine Clinic,23.2104222,77.4315482
CIVIL HOSPITAL,23.2564166,77.4094808
Siddharth Homeopathic Clinic,23.1806052,77.4568483
Rajni Health Care hospital,23.2682641,77.4681819
"Smile Spectrum : Dental, Hair And Aestheic clinic",23.2682177,77.4681117
Shree Balaji Multispecialty Hospital,23.2663724,77.4701843
Ma Pitamabara Multispeciality Hospital,23.2674239,77.466704
Janak Clinic and Care,23.268336,77.4675993
Dolphin Children Hospital,23.2634245,77.4645223
Dr Rakesh Singh Jagat,23.253215,77.4684872
Jai Multispeciality Clinic,23.2533157,77.4719325
Unknown,23.2453734,77.4725074
Health Centre,23.1874259,77.3652899
Ronak Hospital,23.2145808,77.3922073
